Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
LVMH MOET HENNESSY LOUIS           VUITTON|CONSUMER GOODS|CORP|53,421,886           |6 |149,703,179 |36 |Europe
TYSON FOODS, INC.|CONSUMER GOODS|CORP|52,869,046           |10 |213,550,000 |61 |Americas
DANSKE BANK A/S|FINANCIALS|CORP|52,079,874           |9 |224,077,899 |47 |Europe
BAXTER INTERNATIONAL INC.|HEALTHCARE|CORP|52,076,354           |10 |99,850,000 |43 |Americas
MARRIOTT INTERNATIONAL,           INC.|CONSUMER SERVICES|CORP|51,659,354           |13 |246,695,000 |79 |Americas
DXC TECHNOLOGY COMPANY|TECHNOLOGY|CORP|51,507,508           |12 |227,170,000 |66 |Americas
UNITEDHEALTH GROUP           INCORPORATED|HEALTHCARE|CORP|51,407,315           |7 |249,125,000 |35 |Americas
REPUBLIC OF PANAMA|GOVERNMENT|SOV|51,278,385           |10 |389,100,000 |66 |Americas
YUM! BRANDS, INC.|CONSUMER SERVICES|CORP|51,092,308           |15 |176,200,000 |96 |Americas
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|50,970,927           |10 |200,864,388 |61 |Europe
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|50,575,585           |10 |282,150,000 |75 |Americas
SOLVAY|BASIC MATERIALS|CORP|50,488,622           |9 |443,050,855 |103 |Europe
TOLL BROTHERS, INC.|CONSUMER GOODS|CORP|50,343,971           |15 |269,250,000 |131 |Americas
LINCOLN NATIONAL           CORPORATION|FINANCIALS|CORP|50,254,354           |11 |152,750,000 |86 |Americas
TRANSOCEAN INC.|ENERGY|CORP|49,698,408           |23 |452,005,000 |211 |Americas
NEXT PLC|CONSUMER SERVICES|CORP|49,692,071           |10 |340,617,415 |92 |Europe
OVINTIV INC.|ENERGY|CORP|49,506,615           |14 |272,305,000 |88 |Americas
NEWELL BRANDS INC.|CONSUMER GOODS|CORP|49,445,205           |14 |303,047,000 |114 |Americas
HSBC BANK PLC|FINANCIALS|CORP|49,043,362           |5 |138,665,454 |21 |Europe
KONINKLIJKE KPN N.V.|TELECOMMUNICATIONS SERVICES           |CORP|48,754,539           |12 |346,666,624 |99 |Europe
UBS GROUP AG|FINANCIALS|CORP|48,577,056           |7 |255,962,123 |52 |Europe
FREEPORT-MCMORAN INC.|BASIC MATERIALS|CORP|48,158,462           |14 |283,820,000 |79 |Americas
INTERNATIONAL PAPER           COMPANY|BASIC MATERIALS|CORP|48,036,226           |9 |167,785,000 |47 |Americas
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|47,789,731           |14 |279,523,000 |96 |Americas
ENGIE|UTILITIES|CORP|47,469,278           |7 |297,295,789 |56 |Europe
